"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"0","tournament_event","6695346132","6695346132","","I","individual","2023-03-16","2023-03-18","2023 NCAA Division I Championships","MI","P","683912132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695346132&teamId={TEAM_ID}"
"1","tournament_event","6695344132","6695344132","","I","individual","2023-03-10","2023-03-11","2023 NCAA Division II Wrestling Championships","IA","P","683919132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695344132&teamId={TEAM_ID}"
"2","tournament_event","6695345132","6695345132","","I","individual","2023-03-10","2023-03-11","2023 NCAA Division III Wrestling Championships","IA","P","683926132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695345132&teamId={TEAM_ID}"
"3","tournament_event","7187616132","7187616132","","I","individual","2023-03-04","2023-03-05","2023 Big 12 Championships","OK","P","724521132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7187616132&teamId={TEAM_ID}"
"4","tournament_event","7187629132","7187629132","","I","individual","2023-03-04","2023-03-05","EIWA Champonships","PA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7187629132&teamId={TEAM_ID}"
"5","tournament_event","6828199132","6828199132","","I","individual","2023-03-05","2023-03-05","ACC Championships","NC","P","696489132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6828199132&teamId={TEAM_ID}"
"6","tournament_event","7066971132","7066971132","","I","individual","2023-03-05","2023-03-05","Pac-12 Championships","CA","P","724583132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7066971132&teamId={TEAM_ID}"
"7","tournament_event","7035625132","7035625132","","I","individual","2023-03-04","2023-03-05","2023 Big Ten Wrestling Championships","MI","P","720278132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7035625132&teamId={TEAM_ID}"
"8","tournament_event","6972480132","6972480132","","I","individual","2023-03-04","2023-03-04","2023 Southern Conference Championship","NC","P","711986132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6972480132&teamId={TEAM_ID}"
"9","tournament_event","6695343132","6695343132","","I","individual","2023-03-03","2023-03-04","2023 NAIA National Championships","KS","O","683848132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695343132&teamId={TEAM_ID}"
"10","tournament_event","6695137132","6695137132","","I","individual","2023-03-03","2023-03-04","MAC Tournament","VA","P","706259132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695137132&teamId={TEAM_ID}"
"11","tournament_event","6695334132","6695334132","","I","individual","2023-02-26","2023-02-26","NCAA DII Super Regional IV","IN","P","683916132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695334132&teamId={TEAM_ID}"
"12","tournament_event","6697385132","6697385132","","I","individual","2023-02-25","2023-02-26","NCAA DIII Regional Northeast","ME","P","683921132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6697385132&teamId={TEAM_ID}"
"13","tournament_event","6697384132","6697384132","","I","individual","2023-02-25","2023-02-26","NCAA DIII Regional Mideast","IN","P","683920132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6697384132&teamId={TEAM_ID}"
"14","tournament_event","6695333132","6695333132","","I","individual","2023-02-25","2023-02-25","NCAA DII Super Regional III","IN","P","683915132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695333132&teamId={TEAM_ID}"
"15","tournament_event","6697386132","6697386132","","I","individual","2023-02-24","2023-02-25","NCAA DIII Regional Central","OH","P","683922132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6697386132&teamId={TEAM_ID}"
"16","tournament_event","6695331132","6695331132","","I","individual","2023-02-25","2023-02-25","NCAA DII Super Regional I","IN","P","683913132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695331132&teamId={TEAM_ID}"
"17","tournament_event","6701877132","6701877132","","I","individual","2023-02-25","2023-02-25","NCWA Great Lakes Conference Championship","OH","P","711617132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6701877132&teamId={TEAM_ID}"
