winner_name_raw,loser_name_raw,winner_school_raw,loser_school_raw,winner_class_year_raw,loser_class_year_raw,weight_class,victory_type,round_label,round_sort_key,level,event_name,event_series_name,event_type,event_id_external,date_start_raw,date_end_raw,occurred_at,source_match_id,extraction_confidence,score,time_seconds
Travis Clawson,Brycen Arbogast,Clarion,Edinboro,So.,So.,125,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853752132,1.0,21-4,392
Nikos Filipos,Easton Mull,Unrostered NAPS,Clarion,,Fr.,125,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854099132,1.0,15-7,
Anthony Knox,Travis Clawson,Unrostered- Spartan Combat RTC,Clarion,,So.,125,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853706132,1.0,21-6,360
Tucker Owens,Travis Clawson,Air Force,Clarion,Sr.,So.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853828132,1.0,17-16,
Travis Clawson,Jaxson Rosselli,Clarion,Pittsburgh,So.,RS Fr.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854007132,1.0,6-4,
Travis Clawson,Micah Medina,Clarion,Bellarmine,So.,Jr.,125,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854109132,1.0,,415
Porter Matecki,Easton Mull,SIU Edwardsville,Clarion,So.,Fr.,125,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853990132,1.0,9-0,
Benjamin Fuller,Dylan Kadish,Edinboro,Clarion,Fr.,Fr.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853882132,1.0,11-2,
Diego Stropko,Aiden Beimel,Unrostered,Clarion,,Fr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853818132,1.0,23-7,400
Aiden Beimel,Liam Montgomery,Clarion,Unrostered,Fr.,,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853890132,1.0,15-4,
Jacob Jones,Colton Wade,Air Force,Clarion,So.,Fr.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853891132,1.0,14-1,
Tyler Ferrara,Joey Fischer,Cornell,Clarion,So.,RS Fr.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853729132,1.0,11-3,
Joey Fischer,Bubba Wright,Clarion,Air Force,RS Fr.,Jr.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853829132,1.0,6-0,
Joey Fischer,Benjamin Fuller,Clarion,Edinboro,RS Fr.,Fr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853996132,1.0,18-2,327
Joey Fischer,Troy Guerra,Clarion,Buffalo,RS Fr.,RS So.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854098132,1.0,6-1,
Jack Silfies,Peyton Costa,Unrostered,Clarion,,So.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853885132,1.0,8-0,
Marcel Lopez,Dylan Kadish,SIU Edwardsville,Clarion,Sr.,Fr.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854095132,1.0,11-1,
Bubba Wright,Aiden Beimel,Air Force,Clarion,Jr.,Fr.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854085132,1.0,14-0,
Tyler Ferrara,Colton Wade,Cornell,Clarion,So.,Fr.,133,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854089132,1.0,,332
Isaiah Cortez,Joey Fischer,Unrostered- Spartan Combat RTC,Clarion,,RS Fr.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853672132,1.0,5-1,
Dominic Deputy,Peyton Costa,Unrostered - Orchard,Clarion,,So.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853989132,1.0,16-0,125
Carter Nogle,Isaac Williams,Air Force,Clarion,So.,So.,141,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854056132,1.0,,56
CJ Carr,Jack Martinec,Lock Haven,Clarion,So.,Sr.,141,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853879132,1.0,10-8,
Danny Martinez,Jack Martinec,SIU Edwardsville,Clarion,Jr.,Sr.,141,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853982132,1.0,15-0,242
Jack Martinec,Niko Ferra,Clarion,Seton Hill,Sr.,Jr.,141,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854079132,1.0,11-2,
Kaden Allen,Scott Johnson,Unrostered NAPS,Clarion,,Jr.,141,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853751132,1.0,18-1,321
Alec Peralta,Scott Johnson,SIU Edwardsville,Clarion,Sr.,Jr.,141,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853813132,1.0,4-2,
Scott Johnson,Christian Ford,Clarion,Unrostered,Jr.,,141,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853985132,1.0,18-3,420
Scott Johnson,CJ Carr,Clarion,Lock Haven,Jr.,So.,141,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854084132,1.0,14-1,
Foster Cardinale,Isaac Williams,Cornell,Clarion,Jr.,So.,141,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853968132,1.0,11-1,
Gianni Silvestri,Talan Mizenko,Buffalo,Clarion,So.,Fr.,141,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853877132,1.0,5-0,
Trey Wagner,Talan Mizenko,Unrostered - NAWC,Clarion,,Fr.,141,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853991132,1.0,11-3,
Talan Mizenko,Nevin Hayes,Clarion,Unrostered - Funky Monkey,Fr.,,141,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854060132,1.0,14-8,
Maddox Shaw,David McClelland,Ohio State,Clarion,Fr.,Jr.,149,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67854113132,1.0,,82
Connor Eck,Nate Higley,Clarion,Bellarmine,RS Fr.,RS Sr.,149,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8703899132,20251102,20251102,1762041600000,67853805132,1.0,,240
