team_name,state,team_id
Air Force,CO,971351143
American,DC,971357143
Appalachian State,NC,971359143
Arizona State,AZ,971361143
Army West Point,NY,971362143
Bellarmine,KY,971336143
Binghamton,NY,971369143
Bloomsburg,PA,971370143
Brown,RI,971373143
Bucknell,PA,971374143
Buffalo,NY,971376143
Cal Poly,CA,971377143
California Baptist,CA,971378143
Central Michigan,MI,971383143
Chattanooga,TN,971387143
Columbia,NY,971398143
Cornell,NY,971401143
CSU Bakersfield,CA,971403143
Davidson,NC,971404143
Drexel,PA,971406143
Duke,NC,971408143
Edinboro,PA,971410143
Franklin & Marshall,PA,971416143
Gardner-Webb,NC,971418143
George Mason,VA,971419143
Harvard,MA,971421143
Hofstra,NY,971423143
Illinois,IL,971425143
Indiana,IN,971426143
Iowa,IA,971428143
Iowa State,IA,971429143
Kent State,OH,971434143
Lehigh,PA,971440143
Little Rock,AR,971349143
Lock Haven,PA,971443143
Maryland,MD,971449143
Michigan,MI,971456143
Michigan State,MI,971457143
Minnesota,MN,971460143
Missouri,MO,971464143
Navy,MD,971469143
NC State,NC,971478143
Nebraska,NE,971471143
North Carolina,NC,971477143
North Dakota State,ND,971481143
Northern Colorado,CO,971482143
Northern Illinois,IL,971483143
Northern Iowa,IA,971484143
Northwestern,IL,971486143
Ohio,OH,971489143
Ohio State,OH,971491143
Oklahoma,OK,971493143
Oklahoma State,OK,971494143
Oregon State,OR,971498143
Penn State,PA,971501143
Pittsburgh,PA,971503143
Princeton,NJ,971506143
Purdue,IN,971507143
Rider,NJ,971509143
Rutgers,NJ,971512143
SIU Edwardsville,IL,971520143
South Dakota State,SD,971519143
Stanford,CA,971527143
The Citadel,SC,971531143
Utah Valley,UT,971539143
Virginia Tech,VA,971541143
VMI,VA,971542143
West Virginia,WV,971550143
Wisconsin,WI,971556143
Wyoming,WY,971565143
Campbell,NC,971379143
Penn,PA,971502143
Virginia,VA,971540143
Clarion,PA,971389143
Cleveland State,OH,971390143
LIU,NY,971570143
Presbyterian College,SC,971576143
Sacred Heart,CT,971513143
