"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"0","tournament_event","8710102132","8710102132","","I","individual","2026-03-19","2026-03-21","2026 NCAA Division I Championships","OH","P","931299132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId={TEAM_ID}"
"1","tournament_event","9096146132","9096146132","","I","individual","2026-03-14","2026-03-14","2026 NCWA GLC Tournament","MI","P","984655132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9096146132&teamId={TEAM_ID}"
"2","tournament_event","8987563132","8987563132","","I","individual","2026-03-13","2026-03-14","2026 NCAA Division II Wrestling Championships","SD","P","954920132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987563132&teamId={TEAM_ID}"
"3","tournament_event","8987562132","8987562132","","I","individual","2026-03-13","2026-03-14","2026 NCAA Division III Wrestling Championships","IA","P","954922132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987562132&teamId={TEAM_ID}"
"4","tournament_event","9065827132","9065827132","","I","individual","2026-03-14","2026-03-14","NCWA WCC Chamionship","CA","P","979705132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9065827132&teamId={TEAM_ID}"
"5","tournament_event","9065384132","9065384132","","I","individual","2026-03-14","2026-03-14","2026 NCWA SWC Tournament","NE","O","978776132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9065384132&teamId={TEAM_ID}"
"6","tournament_event","9096283132","9096283132","","I","individual","2026-03-14","2026-03-14","2026 NCWA Mid-Atlantic Conf Championship","VA","P","985053132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9096283132&teamId={TEAM_ID}"
"7","tournament_event","8982563132","8982563132","","I","individual","2026-03-07","2026-03-08","2026 MAC Wrestling Championships","NY","P","964861132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8982563132&teamId={TEAM_ID}"
"8","tournament_event","9065879132","9065879132","","I","individual","2026-03-08","2026-03-08","2026 Ivy League Wrestling Tournament","NY","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9065879132&teamId={TEAM_ID}"
"9","tournament_event","9033538132","9033538132","","I","individual","2026-03-08","2026-03-08","2026 ACC Wrestling Championships","VA","P","948555132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9033538132&teamId={TEAM_ID}"
"10","tournament_event","8989784132","8989784132","","I","individual","2026-03-07","2026-03-08","2026 Big Ten Wrestling Championships","PA","P","964607132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8989784132&teamId={TEAM_ID}"
"11","tournament_event","8875439132","8875439132","","I","individual","2026-03-06","2026-03-07","2026 Southern Conference Championship","NC","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8875439132&teamId={TEAM_ID}"
"12","tournament_event","9034990132","9034990132","","I","individual","2026-03-06","2026-03-07","2026 Big 12 Championships","OK","P","974060132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9034990132&teamId={TEAM_ID}"
"13","tournament_event","9034259132","9034259132","","I","individual","2026-03-06","2026-03-07","EIWA Championship","DC","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9034259132&teamId={TEAM_ID}"
"14","tournament_event","8977800132","8977800132","","I","individual","2026-03-06","2026-03-06","Pac-12 Championships","CA","P","974263132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8977800132&teamId={TEAM_ID}"
"15","tournament_event","8999692132","8999692132","","I","individual","2026-02-28","2026-03-01","NCAA DIII Region I","CT","P","966168132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999692132&teamId={TEAM_ID}"
"16","tournament_event","8974321132","8974321132","","I","individual","2026-03-01","2026-03-01","Zingo Nationals","NJ","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8974321132&teamId={TEAM_ID}"
"17","tournament_event","8999693132","8999693132","","I","individual","2026-02-27","2026-02-28","NCAA DIII Region II","NY","P","966169132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999693132&teamId={TEAM_ID}"
"18","tournament_event","8987567132","8987567132","","I","individual","2026-02-28","2026-02-28","NCAA DII Super Regional III","OH","P","933752132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987567132&teamId={TEAM_ID}"
"19","tournament_event","8987569132","8987569132","","I","individual","2026-02-28","2026-02-28","NCAA DII Super Regional VI","CO","P","933755132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987569132&teamId={TEAM_ID}"
"20","tournament_event","9034956132","9034956132","","I","individual","2026-02-28","2026-02-28","2026 NCWA California State Championships","CA","O","974004132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9034956132&teamId={TEAM_ID}"
"21","tournament_event","8999691132","8999691132","","I","individual","2026-02-27","2026-02-28","NCAA DIII Region VII","WI","P","966174132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999691132&teamId={TEAM_ID}"
"22","tournament_event","8987570132","8987570132","","I","individual","2026-02-28","2026-02-28","NCAA DII Super Regional V","MN","P","933754132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987570132&teamId={TEAM_ID}"
"23","tournament_event","8987566132","8987566132","","I","individual","2026-02-28","2026-02-28","NCAA DII Super Regional II","SC","P","933751132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987566132&teamId={TEAM_ID}"
"24","tournament_event","8999689132","8999689132","","I","individual","2026-02-27","2026-02-28","NCAA DIII Region V","OH","P","966172132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999689132&teamId={TEAM_ID}"
"25","tournament_event","8999686132","8999686132","","I","individual","2026-02-27","2026-02-28","NCAA DIII Region III","NJ","P","966170132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999686132&teamId={TEAM_ID}"
"26","tournament_event","8987565132","8987565132","","I","individual","2026-02-28","2026-02-28","NCAA DII Super Regional I","PA","P","933750132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987565132&teamId={TEAM_ID}"
"27","tournament_event","8999690132","8999690132","","I","individual","2026-02-27","2026-02-28","NCAA DIII Region VI","IA","P","966173132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999690132&teamId={TEAM_ID}"
